actor_id,full_name,gender,birth_date,nationality,height,awards_count,debut_year,instagram_followers,salary,agent_name,email,phone,city,created_at
1,Denzel Smith,F,1966-05-20,Canadian,1.84,29,2018,30194062,124013.73,ICM,denzel_smith59@talent.com,+447029336116,Berlin,2019-02-23 07:25:47
2,Kenji Santos,M,1974-01-08,British,1.76,25,2013,23537891,4713168.92,WME,kenji_santos12@talent.com,+447676536353,New York,2020-09-02 11:31:59
3,Daniel Kim,Other,1975-11-11,Japanese,1.75,3,1995,21627051,4555895.16,CAA,daniel_kim12@talent.com,+447038875577,Rome,2024-05-01 01:17:28
4,Elena Taylor,Other,1990-10-27,Indian,1.85,16,2001,34689478,1433260.79,CAA,elena_taylor52@talent.com,+447322459295,Toronto,2013-07-26 03:01:03
5,Ryan Cooper,M,1991-08-11,Australian,2.0,19,1997,13565246,16326672.09,CAA,ryan_cooper59@talent.com,+447004218426,Madrid,2018-02-04 02:28:06
6,Pierre Washington,M,1960-02-09,Japanese,1.7,30,2007,22436949,16991703.8,Paradigm,pierre_washington98@talent.com,+447055910620,Madrid,2014-04-08 07:42:42
7,Carlos Santos,F,1960-04-19,French,1.79,21,1986,14177748,14551509.89,APA,carlos_santos85@talent.com,+447437181606,Berlin,2024-01-25 01:19:39
8,Scarlett Johansson,M,1996-07-23,French,2.03,19,2015,43469329,16637860.86,ICM,scarlett_johansson75@talent.com,+447413097268,Paris,2017-04-19 09:48:27
9,Scarlett Stone,M,2000-12-26,Indian,1.96,27,2018,25250703,17163561.31,ICM,scarlett_stone20@talent.com,+447531834991,Sydney,2012-08-22 12:35:29
10,Emma Rodriguez,M,2000-02-25,Spanish,2.01,12,2013,2249969,8636900.78,APA,emma_rodriguez34@talent.com,+447993628296,Seoul,2018-11-04 15:55:14
11,Cate Nakamura,M,1971-01-13,Brazilian,1.96,17,1997,24907014,15014801.57,Paradigm,cate_nakamura60@talent.com,+447127176506,Tokyo,2016-04-27 18:34:44
12,Kenji Garcia,F,1973-08-01,German,1.85,7,2001,44396607,2689789.46,WME,kenji_garcia2@talent.com,+447317796049,New York,2018-07-13 23:37:09
13,Emma Nakamura,Other,1961-07-02,American,1.57,2,1992,44786533,15425822.89,CAA,emma_nakamura17@talent.com,+447915090679,Paris,2023-06-14 02:26:04
14,Brad Thomas,Other,1989-11-17,French,1.62,2,1999,91022,985231.71,Anonymous Content,brad_thomas59@talent.com,+447276942739,Mumbai,2012-11-25 06:33:54
15,Elena Streep,Other,1985-07-16,British,1.65,29,1998,4947626,1274158.23,Gersh Agency,elena_streep49@talent.com,+447670544771,Mumbai,2011-08-22 14:40:15
16,Tom Brown,M,1954-09-18,British,1.99,0,2011,14325856,15025525.4,Anonymous Content,tom_brown47@talent.com,+447778075560,New York,2016-05-04 15:24:04
17,Tom Pitt,F,1966-02-23,Canadian,1.77,7,2012,34016943,3826019.88,3 Arts Entertainment,tom_pitt81@talent.com,+447239814131,Sydney,2011-07-28 14:27:17
18,James Reynolds,Other,1996-04-22,British,2.04,4,2019,10021634,17715948.22,Paradigm,james_reynolds32@talent.com,+447839185468,Madrid,2024-02-06 12:56:38
19,Maria Garcia,M,1961-06-06,Australian,1.76,8,2001,20228879,13691693.04,Gersh Agency,maria_garcia75@talent.com,+447908078986,Berlin,2022-12-21 13:49:45
20,Leonardo Anderson,F,2000-04-08,American,1.76,0,2018,1655630,6443467.66,Innovative Artists,leonardo_anderson56@talent.com,+447936419028,Madrid,2011-06-11 22:22:38
21,Emma Streep,M,1999-08-17,Spanish,2.01,1,1995,23922952,11563689.5,UTA,emma_streep89@talent.com,+447687525868,Los Angeles,2021-12-09 12:15:29
22,Anna Chen,M,1963-03-07,Korean,1.8,2,2019,460534,3545421.44,APA,anna_chen53@talent.com,+447777902465,Seoul,2020-10-19 18:31:29
