director_id,full_name,nationality,experience_years,famous_movie,awards,email,phone,salary,studio,gender,birth_date,net_worth,status,created_at
1,Tom Chen,French,38,The Last Storm,13,tom.chen32@gmail.com,+19542719583,352556.86,Universal,M,1954-09-20,6280657.97,Active,2021-11-23 17:26:14
2,Omar Thomas,Korean,7,The Golden Hero,2,omar.thomas98@gmail.com,+19148090293,2023651.04,Netflix,F,1978-05-26,9646638.14,Retired,2018-02-13 02:35:18
3,Cate Pitt,French,15,The Rising Storm,3,cate.pitt74@gmail.com,+12711768805,2024605.88,A24,Other,1963-03-12,71698869.35,Retired,2021-11-21 02:38:40
4,Anna Anderson,American,15,The Dark Night,1,anna.anderson60@gmail.com,+18554684531,4064219.84,Amazon Studios,F,1944-04-19,175397157.67,Retired,2013-11-16 12:56:58
5,Tom Garcia,Australian,26,The Dark Storm,11,tom.garcia18@gmail.com,+17745408072,1252739.64,Disney,Other,1971-02-25,10376158.71,Active,2012-11-06 21:27:38
6,Sofia Martin,Indian,18,The Silent Dawn,20,sofia.martin60@gmail.com,+17661192619,1832842.27,Sony Pictures,F,1950-08-01,190809369.58,Retired,2018-03-17 03:55:40
7,Elena Reynolds,Indian,1,The Rising Dawn,19,elena.reynolds26@gmail.com,+19803710343,1755949.07,Warner Bros,M,1963-05-08,12527108.13,Active,2011-12-16 02:48:34
8,Meryl Williams,Brazilian,13,The Dark Shadow,9,meryl.williams71@gmail.com,+17408099076,2115163.04,Netflix,F,1973-08-04,50333217.12,Active,2015-01-19 17:14:37
9,Maria Johnson,Canadian,32,The Last Hero,6,maria.johnson30@gmail.com,+12326543670,2788322.87,Lionsgate,Other,1970-04-26,95121615.65,Retired,2013-02-04 21:27:22
10,Claire Brown,French,16,The Silent Hero,6,claire.brown87@gmail.com,+18612651177,1113002.76,A24,M,1967-03-09,93062985.61,Active,2017-09-04 01:41:34
11,Cate Johnson,British,25,The Last Night,0,cate.johnson22@gmail.com,+16924586084,4929482.45,Sony Pictures,F,1958-07-23,191506210.53,Retired,2012-04-10 06:03:37
12,Leonardo Anderson,American,33,The Last Storm,2,leonardo.anderson8@gmail.com,+16889436429,4286444.22,Universal,Other,1944-11-28,47805575.11,Active,2024-10-08 18:38:02
13,Kenji Rodriguez,Japanese,26,The Silent Dawn,4,kenji.rodriguez73@gmail.com,+14674426900,3424113.07,Sony Pictures,F,1960-02-01,92198819.0,Active,2011-09-07 16:16:08
14,Ryan Ahmed,Canadian,34,The Last Night,0,ryan.ahmed48@gmail.com,+16486075395,3405743.38,Focus Features,F,1982-02-05,53628718.38,Active,2021-09-05 08:18:38
15,Robert Washington,American,6,The Golden Night,20,robert.washington88@gmail.com,+14709479356,2233163.71,Sony Pictures,M,1940-06-25,27033112.48,Retired,2012-12-15 17:45:27
16,Aisha Johnson,British,28,The Last Hero,4,aisha.johnson89@gmail.com,+17581604451,400778.52,Netflix,M,1962-04-22,50656418.11,Active,2015-09-28 13:39:47
17,David Stone,Italian,16,The Dark Night,8,david.stone23@gmail.com,+12254009172,964149.65,Universal,F,1942-08-08,40714993.18,Retired,2015-05-27 07:14:01
18,Emma Dubois,Canadian,35,The Silent Storm,10,emma.dubois36@gmail.com,+19915682940,4708338.27,Universal,F,1951-10-09,8613182.27,Retired,2015-12-26 10:27:38
19,Carlos Chen,Indian,13,The Silent Dawn,11,carlos.chen25@gmail.com,abc-def-ghij,2270227.52,Netflix,Other,1960-11-28,25800437.82,Retired,2018-05-22 13:20:25
20,Scarlett Santos,Indian,1,The Rising Night,9,scarlett.santos25@gmail.com,+15883919694,1577185.84,Amazon Studios,Other,1978-11-11,93532649.86,Retired,2020-04-17 15:50:57
21,Denzel Blanchett,German,20,The Dark Hero,7,denzel.blanchett37@gmail.com,+18486623525,4071501.89,Disney,M,1942-04-16,122643520.64,Active,2017-07-21 18:12:45
22,Scarlett Martin,French,28,The Silent Shadow,7,scarlett.martin32@gmail.com,+19041093026,1044256.07,Focus Features,F,1943-09-08,183576532.88,Active,2017-03-26 14:42:33
23,Aisha Jackson,British,31,The Golden Shadow,14,aisha.jackson79@gmail.com,+17168159521,1444119.43,Paramount,Other,1957-09-16,125722938.96,Retired,2017-02-23 09:15:17
24,Lucas Nakamura,Italian,22,The Rising Hero,17,lucas.nakamura18@gmail.com,+15923563646,2436436.66,Warner Bros,M,1966-07-25,117231803.43,Active,2023-10-13 15:00:22
25,Elena DiCaprio,Spanish,2,The Silent Shadow,12,elena.dicaprio69@gmail.com,+17594700025,1813421.81,Amazon Studios,Other,1950-08-05,196163673.53,Active,2024-07-19 18:42:01
26,Sofia Pitt,Korean,25,The Silent Night,8,sofia.pitt60@gmail.com,+14667360307,3809647.15,Amazon Studios,F,1945-08-01,150055827.96,Active,2015-04-21 02:49:41
27,Michael DiCaprio,French,37,The Last Night,6,michael.dicaprio26@gmail.com,+18363556551,2432163.12,Sony Pictures,F,1950-10-20,192783214.08,Active,2022-03-10 03:37:01
28,Ryan Santos,German,7,The Rising Shadow,9,ryan.santos51@gmail.com,+14032275009,4281407.55,Lionsgate,M,1976-01-12,107016303.82,Retired,2011-09-21 10:00:54
29,Claire Reynolds,Brazilian,34,The Silent Hero,20,claire.reynolds56@gmail.com,+18508713146,1496395.5,Focus Features,F,1969-07-27,146474216.65,Retired,2015-04-27 02:17:56
30,Omar Kim,Spanish,14,The Silent Dawn,11,omar.kim79@gmail.com,+15441481506,4029595.31,Netflix,F,1978-12-09,111602414.56,Active,2011-04-24 13:31:35
31,Meryl Kim,Japanese,38,The Silent Shadow,11,meryl.kim58@gmail.com,+12955936453,2471650.35,Focus Features,F,1967-12-18,66827468.14,Retired,2014-05-09 07:07:46
32,Robert Nakamura,Australian,34,The Last Dawn,19,robert.nakamura98@gmail.com,+13964630331,1558393.78,Universal,M,1958-04-12,36708867.19,Active,2021-09-05 08:02:03
33,Aisha Santos,British,4,The Dark Shadow,8,aisha.santos14@gmail.com,+17875770422,4717105.26,A24,M,1944-07-16,15742351.88,Active,2012-03-26 18:19:05
34,Maria Chen,Spanish,20,The Rising Shadow,18,maria.chen78@gmail.com,+18334786401,4952150.05,Sony Pictures,Other,1979-01-20,192061646.71,Active,2022-04-21 06:16:42
35,Sofia Müller,Japanese,3,The Dark Night,7,sofia.müller71@gmail.com,+12027853787,1582903.47,Sony Pictures,Other,1969-02-22,47451337.43,Retired,2022-11-19 21:51:59
36,Robert Brown,Japanese,39,The Last Dawn,18,robert.brown29@gmail.com,+14723386328,4621724.14,A24,M,1969-12-10,140247003.31,Retired,2018-09-16 14:05:38
37,Michael Cooper,Australian,38,The Silent Storm,0,michael.cooper78@gmail.com,+12934840714,4997947.6,Sony Pictures,Other,1942-03-16,104273804.36,Retired,2024-05-06 18:27:40
38,Cate Wilson,Brazilian,32,The Last Shadow,9,cate.wilson45@gmail.com,+15282754894,3380400.98,Amazon Studios,Other,1942-08-03,63588914.28,Retired,2011-07-28 16:52:00
39,Emma Lawrence,Spanish,4,The Rising Shadow,6,emma.lawrence53@gmail.com,+17307069650,1481869.94,Disney,F,1968-12-16,25163790.59,Active,2021-03-10 17:00:35
40,Claire Rodriguez,Indian,18,The Dark Hero,13,claire.rodriguez60@gmail.com,+18633583206,4206674.94,A24,M,1969-09-05,77333616.64,Active,2023-02-09 13:21:59
41,Denzel Taylor,Spanish,23,The Golden Hero,10,denzel.taylor37@gmail.com,+18019214801,2849203.6,Focus Features,F,1969-06-28,38541822.37,Active,2019-07-08 13:02:20
42,Leonardo Wilson,Indian,38,The Silent Shadow,10,leonardo.wilson85@gmail.com,+18673551903,4374561.5,A24,M,1973-08-01,144766321.69,Retired,2023-11-05 02:30:50
43,John Nakamura,Brazilian,32,The Rising Shadow,17,john.nakamura84@gmail.com,+15369952696,372315.68,Universal,M,1980-11-10,199487758.67,Active,2016-02-25 20:45:55
44,Christopher Garcia,German,34,The Dark Storm,13,christopher.garcia4@gmail.com,+12575921894,2916454.7,Disney,M,1951-02-20,174297080.13,Active,2017-10-05 07:29:40
45,John Garcia,Australian,20,The Golden Hero,20,john.garcia60@gmail.com,+18933650391,4817739.55,Sony Pictures,F,1959-04-13,170813756.27,Active,2013-07-19 11:36:18
46,Scarlett Santos,Japanese,15,The Last Shadow,19,invalid-email-no-at,+19021822825,4049273.4,Paramount,Other,1952-10-09,135875127.27,Active,2020-02-21 20:02:19
47,Denzel Garcia,German,9,The Last Dawn,17,denzel.garcia47@gmail.com,+12925951131,4407010.86,Netflix,Other,1972-05-27,33744339.65,Retired,2022-05-24 10:51:07
48,Omar Rodriguez,Japanese,35,The Dark Night,3,omar.rodriguez87@gmail.com,+16067136687,2382972.93,Sony Pictures,Other,1964-11-12,22560874.34,Active,2017-01-20 17:20:58
49,Kenji Kim,Japanese,32,The Last Shadow,3,kenji.kim90@gmail.com,+16182957497,666521.59,Focus Features,M,1964-08-12,134426757.55,Retired,2019-12-24 04:56:26
50,Tom Chen,Spanish,16,The Silent Dawn,11,tom.chen53@gmail.com,+14861548888,676902.2,Netflix,Other,1981-06-02,80229788.91,Active,2011-08-03 21:13:41
51,Tom Jackson,German,38,The Last Hero,6,tom.jackson43@gmail.com,+13284442778,4102654.31,Paramount,F,1949-10-01,56177694.35,Active,2012-09-09 05:07:42
52,Brad Johnson,British,27,The Dark Hero,16,brad.johnson46@gmail.com,abc-def-ghij,745516.67,Universal,F,1968-06-17,119139537.56,Retired,2018-04-20 01:46:50
53,Ryan Lawrence,Italian,7,The Rising Storm,15,ryan.lawrence59@gmail.com,+12312020480,3619526.31,A24,M,1945-06-20,30518431.31,Active,2014-10-21 18:35:45
54,Lucas Martin,Canadian,36,The Rising Dawn,6,lucas.martin38@gmail.com,+18198217547,2264335.72,Paramount,F,1961-08-13,83781940.4,Active,2015-07-11 21:16:23
55,David Streep,British,36,The Silent Hero,1,david.streep12@gmail.com,+12958245685,3015032.4,Focus Features,Other,1961-11-04,82750917.95,Retired,2023-12-02 09:38:19
56,Emma Chen,Indian,24,The Rising Dawn,3,emma.chen28@gmail.com,+16934762204,3860507.03,Lionsgate,M,1967-09-25,163866945.05,Active,2019-11-27 22:17:01
57,Anna Rossi,American,6,The Golden Storm,16,invalid-email-no-at,+13467724045,1232637.82,Amazon Studios,F,1961-03-12,63015836.57,Retired,2022-10-20 02:56:03
58,David Müller,Japanese,14,The Rising Hero,16,david.müller87@gmail.com,+16538113787,746324.04,Amazon Studios,M,1958-11-22,119033715.83,Retired,2010-04-13 19:03:00
59,Robert Santos,British,9,The Dark Night,12,robert.santos98@gmail.com,abc-def-ghij,2756395.27,Paramount,Other,1975-11-26,71479267.1,Retired,2023-12-02 13:01:29
60,Ryan Rodriguez,Korean,11,The Golden Dawn,19,ryan.rodriguez55@gmail.com,+19268007741,2408465.13,Netflix,M,1967-02-08,87699628.86,Retired,2018-02-13 09:47:21
