user_id,username,email,password,country,age,gender,subscription_type,watch_time,favorite_genre,registration_date,last_login,phone,status,profile_picture
1,user0001,user0001@hotmail.com,hashed_223176,India,62,M,Free,1984,Comedy,2020-08-25 01:44:18,2024-04-26 00:29:15,+54604679018,Active,https://cdn.cinescope.io/avatars/1.jpg
2,user0002,user0002@hotmail.com,hashed_743368,Spain,29,Other,Premium,490,Thriller,2023-01-09 07:32:06,2024-08-20 19:56:47,+85554348034,Banned,https://cdn.cinescope.io/avatars/2.jpg
3,user0003,user0003@proton.com,hashed_589806,USA,46,M,Free,1569,Action,2018-09-14 09:15:08,2023-02-27 08:59:22,+34533730818,Banned,https://cdn.cinescope.io/avatars/3.jpg
4,user0004,user0004@outlook.com,hashed_485041,Canada,65,F,Free,176,Thriller,2020-04-25 14:17:12,2023-06-13 21:30:18,+13647720594,Active,https://cdn.cinescope.io/avatars/4.jpg
5,user0005,user0005@hotmail.com,hashed_262357,Germany,65,F,Basic,894,Crime,2018-02-19 00:40:08,2023-07-01 15:06:15,+18438446028,Banned,https://cdn.cinescope.io/avatars/5.jpg
6,user0006,user0006@outlook.com,hashed_234841,UK,56,F,Basic,1343,Crime,2021-08-21 07:47:48,2024-04-18 08:42:08,+27156648545,Inactive,https://cdn.cinescope.io/avatars/6.jpg
7,user0007,user0007@outlook.com,hashed_901581,Canada,52,F,Basic,1160,Romance,2023-02-18 08:54:52,2024-06-07 14:48:49,+53216681129,Inactive,https://cdn.cinescope.io/avatars/7.jpg
8,user0008,user0008@proton.com,hashed_486656,USA,30,Other,Premium,2547,Action,2019-04-05 06:22:35,2024-10-08 11:32:03,+52669048555,Banned,https://cdn.cinescope.io/avatars/8.jpg
9,user0009,user0009@yahoo.com,hashed_632659,India,14,F,Basic,373,Animation,2023-11-17 02:37:43,2024-04-12 08:50:50,+95774933983,Inactive,https://cdn.cinescope.io/avatars/9.jpg
10,user0010,user0010@yahoo.com,hashed_605857,Japan,71,F,Premium,3199,Horror,2022-04-02 09:27:18,2023-01-14 00:24:36,+36855639559,Banned,https://cdn.cinescope.io/avatars/10.jpg
11,user0011,user0011@proton.com,hashed_877745,Australia,64,F,Free,4070,Animation,2022-04-26 17:22:57,2024-11-26 12:01:37,+50419600744,Active,https://cdn.cinescope.io/avatars/11.jpg
12,user0012,user0012@yahoo.com,hashed_365584,South Korea,51,F,Free,758,Romance,2018-10-27 19:54:52,2023-03-27 20:47:16,+33126153466,Inactive,https://cdn.cinescope.io/avatars/12.jpg
13,user0013,user0013@gmail.com,hashed_932583,France,31,M,Free,3229,Action,2019-03-12 01:41:52,2023-12-22 22:49:37,+19526424634,Inactive,https://cdn.cinescope.io/avatars/13.jpg
14,user0014,user0014@yahoo.com,hashed_380428,UK,49,F,Free,1988,Romance,2018-08-19 08:36:26,2024-06-26 09:38:44,+77646014388,Banned,https://cdn.cinescope.io/avatars/14.jpg
15,user0015,user0015@hotmail.com,hashed_281718,Spain,59,M,Basic,2358,Crime,2023-11-26 04:28:46,2023-09-08 04:54:09,+46590075922,Banned,https://cdn.cinescope.io/avatars/15.jpg
